,title,country,year_x,lgtb,tconst
6759,Do-Nut, Thailand ,2011.0,1,tt3209074
6766,The Doctor's Wife, Australia ,2011.0,1,tt1721226
6767,The Doctor's Wife, Australia ,2011.0,1,tt1856083
6768,The Doctor's Wife, Australia ,2011.0,1,tt1921113
6773,Doing Time on Maple Drive, US ,1992.0,1,tt0104118
6774,Don't Blame Jack, UK ,2019.0,1,tt8706080
6775,The Doom Generation, US ,1995.0,1,tt0112887
6780,Dorian Blues, US ,2004.0,1,tt0398963
6782,Dorian Gray, UK ,2009.0,1,tt1235124
6784,Dorian Gray, UK ,2009.0,1,tt7156848
6785,Dostana, India ,2008.0,1,tt1185420
6790,Downing, UK ,2011.0,1,tt1802762
6794,Dream Boy, US ,2008.0,1,tt0889595
6804,Dream for an Insomniac, US ,1996.0,1,tt0116141
6805,Dream Kitchen, Ireland ,1999.0,1,tt0208920
6844,Dream On, UK ,2013.0,1,tt2302583
6851,Dream On, UK ,2013.0,1,tt2900144
6853,Dream On, UK ,2013.0,1,tt3315200
6857,Dream On, UK ,2013.0,1,tt4489494
6868,Dream On, UK ,2013.0,1,tt7410566
6875,The Dreamers, US ,2003.0,1,tt0309987
6903,Dressed to Kill, US ,1980.0,1,tt0080661
6934,The Dresser, UK ,1983.0,1,tt0085461
6939,Drift, Canada ,2000.0,1,tt0245877
6942,Drift, Canada ,2000.0,1,tt0398979
7027,Drifting Flowers, Taiwan ,2008.0,1,tt1161444
7029,Drool, US ,2009.0,1,tt1268962
7039,Drown, Australia ,2015.0,1,tt2241750
7045,Drown, Australia ,2015.0,1,tt4986242
7046,Drown, Australia ,2015.0,1,tt5009396
7066,Drowning, Australia ,2009.0,1,tt1350487
7074,Drowning, Australia ,2009.0,1,tt1570493
7076,Drowning, Australia ,2009.0,1,tt1579404
7116,Drowning, Australia ,2009.0,1,tt7192876
7127,The Duke of Burgundy, UK/Hungary ,2014.0,1,tt2570858
7129,D'une rive à l'autre, Canada ,2009.0,1,tt1538816
7132,Dungarees, UK ,2020.0,1,tt11875996
7168,Dusk, UK ,2017.0,1,tt4352206
7172,Dusk, UK ,2017.0,1,tt6436348
7174,Dusk, UK ,2017.0,1,tt6796226
7175,Dusk, UK ,2017.0,1,tt7837084
7176,The Dying Gaul, US ,2005.0,1,tt0384929
7177,The Dying Gaul, US ,2005.0,1,tt1725134
7178,An Early Frost, US ,1985.0,1,tt0089069
7187,East Side Story, US ,2006.0,1,tt0437171
7192,East Side Story, US ,2006.0,1,tt0872317
7209,Eastern Boys, France ,2013.0,1,tt2991092
7210,Easy A, US ,2010.0,1,tt1282140
7214,Easy A, US ,2010.0,1,tt3022376
7217,Eat with Me, US ,2014.0,1,tt2274604
7219,Eating Out, US ,2004.0,1,tt0372884
7220,Eating Out, US ,2004.0,1,tt0784992
7229,Eating Out 2: Sloppy Seconds, US ,2006.0,1,tt0795376
7230,Eban and Charley, US ,2000.0,1,tt0253063
7231,eCupid, US ,2011.0,1,tt1754944
7232,Edge of Seventeen, US ,1998.0,1,tt0138414
7237,Edward II, UK ,1991.0,1,tt0101798
7240,Edward II, UK ,1991.0,1,tt2238732
7245,Ed Wood, US ,1994.0,1,tt0109707
7255,Egghead & Twinkie, US ,2023.0,1,tt13242416
7259,Eighteen, Canada ,2004.0,1,tt0430437
7296,El abuelo, US ,2008.0,1,tt1358776
7297,El abuelo, US ,2008.0,1,tt1367305
7306,El hombre de la mandolina, Mexico ,1985.0,1,tt0218340
7307,Elena Undone, US ,2010.0,1,tt1575539
7309,Elephant, US ,2003.0,1,tt0363589
7311,Elephant, US ,2003.0,1,tt1099436
7354,Elliot Loves, US ,2012.0,1,tt0790653
7355,An Empty Bed, US ,1989.0,1,tt0099499
7360,The Endless Possibility of Sky, US ,2012.0,1,tt2047876
7361,Enduring Love, UK ,2004.0,1,tt0375735
7366,An Englishman Abroad, UK ,1983.0,1,tt0085492
7368,An Englishman in New York, UK ,2009.0,1,tt0997057
7372,Enter the Clowns, China ,2002.0,1,tt0387120
7373,Enter the Phoenix, Hong Kong ,2004.0,1,tt0407708
7374,Entre Nous, France ,1983.0,1,tt0085370
7376,Ernesto, Italy ,1979.0,1,tt0079111
7393,Ernesto, Italy ,2020.0,1,tt10448528
7406,Espacio 2, Spain ,2001.0,1,tt0345200
7407,Esteros, Aregentina/Brazil/France ,2016.0,1,tt5883632
7409,Eternal Summer, Taiwan ,2006.0,1,tt0885520
7413,Ethan Mao, Canada/US ,2004.0,1,tt0430063
7414,Eulogy, US ,2004.0,1,tt0349416
7457,Europa Europa, Germany/Poland/France ,1990.0,1,tt0099776
7459,The Everlasting Secret Family, Australia ,1988.0,1,tt0095117
7460,Even Cowgirls Get the Blues, US ,1993.0,1,tt0106834
7463,Evening Shadows, India ,2018.0,1,tt6028796
7464,The Event, Canada/US ,2003.0,1,tt0314039
7496,Everyone, Canada ,2004.0,1,tt0404029
7514,Everything Everywhere All at Once, US ,2022.0,1,tt19388526
7515,Everything Everywhere All at Once, US ,2022.0,1,tt19868298
7516,Everything Everywhere All at Once, US ,2022.0,1,tt20252012
7517,Everything Everywhere All at Once, US ,2022.0,1,tt20423146
7519,Everything Everywhere All at Once, US ,2022.0,1,tt27492345
7521,Everything Everywhere All at Once, US ,2022.0,1,tt6710474
7522,Everything Relative, US ,1996.0,1,tt0116245
7523,Execution of Justice, US ,1999.0,1,tt0176705
7524,Exotica, Canada ,1994.0,1,tt0109759
7539,An Eye for an Eye, US ,2004.0,1,tt0421128
7541,An Eye for an Eye, US ,2004.0,1,tt0524882
7543,An Eye for an Eye, US ,2004.0,1,tt0530512
7644,Eyes Wide Open, Israel ,2009.0,1,tt1424327
7656,Eyes Wide Open, Israel ,2009.0,1,tt2297352
7677,Fabulous! The Story of Queer Cinema, US ,2006.0,1,tt0760167
7678,Fagbug, US ,2009.0,1,tt1320378
7679,Fag Hag, US ,1998.0,1,tt0164024
7684,Fair Haven, US ,2016.0,1,tt3520216
7686,Fairies, US ,2003.0,1,tt0380358
7692,Fairies, US ,2003.0,1,tt14626076
7699,Fake ID, US ,2003.0,1,tt0414000
7708,The Fall of '55, US ,2006.0,1,tt0823174
7717,The Falls, US ,2012.0,1,tt2191354
7718,The Falls, US ,2012.0,1,tt2236252
7719,The Falls, US ,2012.0,1,tt2306783
7725,The Falls: Testament of Love, US ,2013.0,1,tt3169740
7727,Fame, US ,1980.0,1,tt0080716
7828,A Family Affair, US ,2001.0,1,tt0288520
8007,Family Album, US ,1994.0,1,tt0109537
8032,The Family Stone, US ,2005.0,1,tt0356680
8038,The Fan, US ,1981.0,1,tt0082362
8084,FAQs, US ,2005.0,1,tt0396587
8085,Far from Heaven, US ,2002.0,1,tt0297884
8086,Far from Heaven, US ,2002.0,1,tt0512167
8091,Far West, France ,2003.0,1,tt0363604
8107,Fast Forward, Belgium ,2004.0,1,tt0401412
8143,Fatherhood Dreams, Canada ,2007.0,1,tt1278229
8144,Father Knows..., US ,2007.0,1,tt1464533
8145,The Feast of Stephen, US ,2009.0,1,tt1440758
8146,Félix et le poisson, Mexico/Cuba/Canada ,2011.0,1,tt2197937
8147,Fellini Satyricon, Italy ,1969.0,1,tt0064940
8149,Female Trouble, US ,1974.0,1,tt0072979
8154,A Ferret Called Mickey, Ireland ,2003.0,1,tt0387218
8155,Fight Club, US ,1999.0,1,tt0137523
8157,Fight Club, US ,1999.0,1,tt0664347
8185,Fight Club, US ,1999.0,1,tt21836786
8212,Filibus, Italy ,1915.0,1,tt0173837
8214,Finding Me, US ,2009.0,1,tt1411853
